sentiment,content
Positif,terima kasih bang mengantar anak istri ku selamat
Positif,pengemudinya baik
Positif,sangat membantu
Positif,bagus tampilan aplikasinya ada baiknya tingkatkan terutama pemberitahuan rute perjalanan mudah dilihat
Positif,terimakasih tepat waktu
Positif,pengemudi sangat sopan baik
Positif,sangat cepat tepat waktu
Positif,sangat membantu
Positif,sangat baik ramah
Positif,bapak ramah penampilan ok mengemudikan baik pokoknya semuanya olehlah
Positif,alkhmdulillh bang driver e sabar hati jalan gak grusa grusupokoknya bikin nyaman perjalanan
Positif,pelayanan baik
Positif,sangat ramah dn membntu
Positif,cepat murahkeren
Positif,trmksh mengantar anak saya
Negatif,terlalu lambat terhubung layanan
Positif,sangat puas pelayanan cepatdan pengemudi rama
Negatif,alamatjalan harusnya diadet kembali supaya tidak susah mencari alamat jemputan tujuan diantar
Positif,baik sangat tambah
Positif,alhamdulillah cpt sekali pengiriman x
Positif,sopir tepat waktuorang ramah
Positif,baik sekali
Negatif,maxim minimal kasih driver terdekat dulu dongkasihan driver kalau terlalu jemput
Positif,pelayanan oke harga murah
Positif,driver gercep ramah sangat terbantu terima kasih
Positif,bagus sangat membantu
Positif,pekerja keras sopan tepat waktu
Negatif,semoga lebih baik
Negatif,bulan lebih memakai aplikasi maxim setiap hari diwaktu pagi sore aktivitas berangkat pulang kerja biaya ribu perhari selisih ribu aplikasi laintapi biaya ribu saya rasa tidak menjadi alasan kuat memilih aplikasi maxim paling saya rasakan memakai maxim driver selalu menerima orderan selalu lama bergerak lokasi menerima orderan tidak aplikasi lain langsung menuju lokasi orderan membuang waktu customer
Negatif,perlu jaringan bagus
Positif,tepat waktu ramah
Positif,baik sekali
Positif,sangat memuaskan
Positif,mantap bang datang tepat waktu drever ramah sopan
Negatif,bagus sayang kalau mau mengisi e wallet lama banget masuknya bbrp jam kadang harus uninstall lagitolong dong uang saya tf rb ga masuk² kemarin kecewa bgtttt
Positif,pokoknya nyaman buat anak saya
Positif,bapaknya ramah banget
Positif,terimakasih ramah baik
Positif,𝖳𝖾𝗋𝗂𝗆𝖺 𝗄𝖺𝗌𝗂𝗁 atas pelayanannya sangat nyaman puas sekali
Negatif,tidak jujur ngasi kembalian padahal lebihin
Positif,drivernya ga pilih orderan josss
Negatif,biaya aplikasi pas sampai aplikasi drivernya isi e wallet lama masuknya isi masuk cuma perdana nyoba maxim kesan pertama langsung bikin kecewa
Positif,cepat tanggap drifer
Positif,baik ramah
Positif,perjalanan menjadi mudah
Positif,bapaknya baik ramah bangat semoga bpknya sukses slalu yah sehat slalu tuhan yesua memberkati bapak
Positif,terimakasih kepada driver memberikan pelayanan terbaik kepada pelanggan pertahankan tingkatkan
Positif,cepat gesit
Negatif,bijaklah pergunakan apk maxim namanya baru indonesia dunia perojolan tahun sistemnya lebih flexible tuk maps mungkin baruharus menyesuaikan ada aktifkan gps lalu tarik jarum maps lokasi jemputantar tepat lokasinya tolong scanner wajah driver pelanggan terapkan lebih aman nyaman dlm pemakaian data dokumen orang bersangkutan driver pelanggan orderan tidak main semoga maxim jaya selalu aamiin
Positif,pelayanan luar biasa
Negatif,tolong update mapsnya
Positif,driver ramah cepat murah
Positif,abgg kurir baik bgtasik lancar teruss ye
Positif,ok bagus tepat wktu
Positif,pelayanan bagus
Positif,baik sekali
Positif,sopan musik bgus
Positif,dtng tepat waktu driver ramah
Positif,is the best app baru klik pesan langsung datang driver
Positif,pelayanannya sangat baikbagus
Positif,drivernya oke ramah
Positif,orang baik ramah enak ajak ngobrol
Positif,baik sekali dalam pelayanan
Positif,ramah sekali
Positif,sippp mantap murah
Positif,teima kasih melayani baik
Positif,pelayanan bagus dn cepat
Negatif,kecewa berat sih percuma punya fitur ewallet kalau smua drivernya kota makssr gk ada make tolong fitur ewalletnya fungsiin iya kak biar gak kalah saing sm kompetitor sblh
Positif,aplikasinya bagus
Positif,mantab cepat tanggap juga murah semoga maxim sukses jaya selalu aamiin
Negatif,setelah upgrade kok petanya malahan tidak suka lari hub pengemudi juga susah harus gunakan pulsa biasa kalau biasa via aplikasi biar gampang hub pengemudinya
Positif,driver ramah pesanan
Positif,tepat waktu bagus sekali
Positif,terima kasih perjalanan nyaman
Positif,trimakasih pelayanan bagus
Positif,mudah cepat efisien
Positif,terima kasih aplikasi maxim kalau pesan maxim tolong pengumudi kurang banyak semarang
Positif,transfortasi cepat tepat sasaran
Positif,layani bagus murah meriah mana
Positif,terus tingkatkan aplikasi
Positif,terima kasih pak baik
Negatif,parah isi saldo gamasuk sementara saldo udh dipotong berapa jam nunggu gamasuk saldonua
Positif,cepat jemput cepat sampai tujuan
Positif,alhamdulillah sampai maturnuwun nyaman tenang
Positif,baik sngat membantu
Positif,alhamdulillaah pelayanannya baik sekali terima kasih om driver murah rezeki sehat selalu
Positif,baik sekali
Positif,sangat memuaskanramah
Positif,driver bagus faham penumpang bawa bayi trimakasih bapak driver
Positif,tepat waktuterimakasih
Positif,pelayanan ok
Positif,top global bukan cuman lokal mantap
Positif,angkot ekonomis murah tiap hari
Positif,mantap manisnya
Positif,sangat puas pngantanran sampai ttik lokasi
Positif,terbaik segalanya
Negatif,saya tidak daftar pengguna maxim padahal no hp saya daftarkan
Positif,baaiikkk banget bapak ramah juga lebih murah aplikasi aplikasi ojek lain
Negatif,pendaftaran susah
Positif,jozzzzpokoknya drivernya
Positif,supir ramah sangat nyaman
Negatif,pemanggang maxim banyak penipuan saya driver maxim sangat kecewa belanja barang talangin dulu akhir merugi ratusan ribu kacau pelanggan maxim batam gak ada jujur
Positif,aplikasi sangat bagus pakai
Positif,supir ramah menjaga keselamatan penumpang
Positif,orang ramah
Positif,mantap drevelnya
Negatif,terlalu murah ksian driver naikin ongkos maxim buat driver
Positif,pengemudi jemmy kaunang motorcycle warna biru nopol dtci selamat menikmati perjalanan rating
Negatif,sangat bagus kurang tepat mana orang menjemput berada kalau hp dia sini tibatiba dia ada dekat
Negatif,kok ditulis alamat penjemputannya berubah sendiri sihmau apa sih apk
Negatif,suara knalpot brong tidak nyaman penumpang cara berkendara kurang hati
Negatif,udh top up ternyata tidak digunakan pembayaran non cash
Negatif,kalau map maxim diperbaharui terima kasih
Positif,sehat sehat iya pak
Positif,cepat tepat
Positif,baik ramah
Positif,lebih memudahkan
Positif,orangnya baik
Negatif,aplikasinya nyaman cuman ada bug mengganggu penggunaan aplikasi
Positif,order dipenuhi agus kurniawan motorcycle warna cokelat nopol kugu terima kasih atas perjalanan rating
Positif,puas pokoknya terimakasih
Positif,trimakasih pelayananya ramahtepat waktu
Positif,ramah dn cpat
Positif,drivernya sopan cara mengendarai mobilnya juga hati terima kasih dibantu
Positif,driver sangat bagus memuaskansemangat
Positif,bgus sangat membantu
Positif,pelayanan titik jemput sesuaiterima kasih
Positif,pengemudi baik ramah
Positif,tepat waktu efisien
Negatif,maxim emang kalau pagi gamau ambil orderan iya selalu lama nunggu ada ambil orderan tiap pagi pasti lama menit nunggu padahal pasti ada anak sekolah berangkat pakai maxim pagi²
Positif,cepat bagus layananya
Positif,baik orng
Positif,saya suka pengemudinya mantap
Positif,anak saya diantar sampai tujuan terimakasih banyak
Positif,senangnggunakan aplikasi
Positif,baik bgttt soft spoken keamanan
Positif,penting ramah
Positif,luar biasa membantu
Positif,biaya pembayarannya lebih murah apk ketimbang apk sebelah
Positif,ramahmobil bersih
Negatif,busuk saldo ga tarik
Positif,pelayanan ok
Negatif,kenapa saya tiba tiba g login
Positif,sangat ramah nyaman
Negatif,punya saya gbisa dibuat login kode otp tidak terkirim butuhhh solusiiii
Negatif,no saya padahal baru ga kode tidak muncul
Positif,bapak maxim ramah
Positif,baik ramah
Positif,pelayanannya sangat baikbagusjujurramahsopan santun
Positif,terimakasih antar tepat waktu
Positif,mksih driver ramah baik bnget sopan
Positif,mantap ramah tentunya safety
Positif,bapaknya ramah bawa motornya hati
Positif,ramah drivernya
Negatif,baikyang kurang lokasi tujuan pas
Positif,gesit driver
Positif,mantap kurir baik
Positif,terimakasih sangat cepat
Negatif,saya tadi sedikit takut diajak bicara ga ada senyum bhkn nunduk pemalu iya mastp keren gercep mksh mas
Positif,sangat baik ramah
Positif,bagus enak gmpng
Positif,raden salesale perjalanan sangat menarik dn penuh tantangan
Positif,bapaknya baik ramah terima kasih
Positif,pelayanan sangat memuaskan
Positif,sangat baik ramah
Positif,rekomendasi sukses terus
Positif,sangat membantu
Positif,pengemudi responsif
Positif,gercep datang driver ramah
Positif,orangnya ramah
Positif,sangat terbaik
Positif,driver jujur terbaik
Negatif,saya pelanggan tetaptiap hari naik maxim tolong tentukan rute baik tidak ribetmerugikan pelanggan
Positif,saya sangat berterima kasih pengemudinya sangat ramah sopan
Positif,sangat memuaskan pelayanan
Positif,pelayanan prima tanggap kondisi darurat tengah malam terima kasih maxim
Positif,drivernya baik mantap
Positif,pengemudi asyik ajak ngobrol ramah pelayanannya sangat baik terima kasih kasih
Positif,baik ramah
Positif,pengemudi sangat baik ramah terimakasih
Positif,kurirnya ramah sekali
Positif,sangat baik nyaman
Positif,𝘿𝙧𝙞𝙫𝙚𝙧𝙣𝙮𝙖 𝙧𝙖𝙢𝙖𝙝 𝙖𝙣𝙙 𝙗𝙖𝙞𝙠
Positif,terimakasih antar sampai tujuan
Positif,mantap kali terimah kasih
Positif,sangat baik sekali sopan santun rama
Negatif,maping ga lengkap susah cari titik nama lokasi buat orang ga faham orang tua susah buat order
Positif,drivernya bagus cepat
Positif,sangat bagus pelayanan
Positif,terimakasih bapak driver sukses sehat selalu
Positif,bapaknya ramah baik soapn
Positif,baik orang alhamdulillah
Positif,ramah cepat
Positif,kurir ramah baik
Positif,mantap drivernya ramah
Negatif,susah cari alamat alamat tidak akurat tidak rekomended
Positif,pelayanan bagus
Negatif,tolong adminnya bagaimana kok lokasi saya tidak
Positif,sangat baik ramah
Positif,pelayanan terbaik
Positif,mantap cepat sampainya ramah drivernya
Positif,alhamdulilah kurirnya amanahbaikpesanan sampai tujuan baik tidak ada kurang satupun
Positif,pelayanan cepat mantap
Positif,pertama kali naik maxim alhamdulillah nyaman
Positif,terima kasih banyak a
Positif,kurir sangat baik ramahcepattepat waktu
Positif,nyopirnya halus bapaknya ramah terimakasih salam sehat
Positif,sangat ramah da hati dlm perjalanan
Positif,baik sopan mbl juga wangi
Positif,harga terjangkau terimakasih maxim
Positif,sangat membantu
Positif,mobilnya pelayanan bagus
Positif,saya kasi lima bintang
Negatif,titik lokasinya selalu tidak pas upgrade mapnya padahal aplikasi lain upgrade
Positif,driver ramah
Positif,terima kasih banyak bang
Positif,murah cepat terimakasih mx
Positif,pelayanannya sangat baik sekali sopan
Positif,driver ramah tamah
Negatif,tolong hapus aplikasi taxsee driver warna ungu mood maximmereka main akunsaya selalu dapat driver orangnya lihat hpnya aplikasi warna ungu ga kendaraannya platnya beda ga aplikasi drivernya bedakaya gojek grab donk keamanan terjaminkenapa mreka lolos apa ga ada vermuk wjah aplikasinyaapalagi kalau malam saya takut beda driver ga sama aplikasi tolong perbaiki demi kenyamanan pengguna maxim thank youtindak lanjutin iya
Negatif,buat top up e walletnya gak jelass kbnykan driver juga ga narik uangnya sehingga harus tunai
Positif,sikap driver baik sopan terimakasih
Positif,pelayanan ok
Positif,pengiriman cepat tepat
Positif,bapaknya ramah kaliii terimakasih iya pa bapa tepat waktu saya terima kerja terima kasih iya pak lancar terus rezekinya sehat iya pak
Positif,bapaknya ramah
Negatif,kenapa si sama wallet kaspro isi saldo gak kepake bahkan berulangkali berubah tunai jadinya harus bayar tunai padahal gak pegang tunai tolong dong bantuannya diisi bahkan rupiah padahal udh diisi jadinya uangnya masuk kemana
Positif,terima kasih pelayanan baik
Positif,bagus pelayanan terima kasih
Positif,nyaman dalam perjalanana
Positif,terimakasih driver ramah
Positif,gercepp abangnya
Positif,cepat tepat waktu antar sampai tujuan selamat
Positif,mas ramah
Positif,baik maxim jngan kasih susan orang okmaxim oranggood ok terima kasih
Positif,sangat membantu
Positif,orang ramah
Positif,saya merasa puas pelayanannyaterimakasih
Negatif,aplikasi gak guna jangan didownload ngak aplikasinya saya mau mencari tujuan ngak keluar sama sekali tidak jelas alamatnya
Positif,mantap driver rama sopa ongkos kirim rama kantong
Positif,sanggat baikterima ksih
Positif,all good lancar rezeki pak
Positif,sangat membantu
Positif,bapaknya ramah sabar mau bantu nurunin barang belanjaan trmksh pak
Positif,cepat ramah
Positif,baik cepat
Positif,pengemudi sangat baik
Negatif,syarat driver maxim siap dianiaya sistem siap dijadikan sapi perah siap dijadikan budak siap ngelamun jam ngk ada orderan siap diakali pihak maxim cari keuntungan penjualan atribut doang siap diiming prioritas penghasilan minim siap motor hancur dalam bulan kedepan siap menahan emosi sistem ngk ada otak sama sekali siap dirugikan pemotongan saldo banyak ketika orderan diatas tarif siap mengikuti arahan
Positif,murah ramah
Positif,arahan
Positif,alhamdulillah orangnya ramah
Negatif,pesanan food tidak batalkan pembayaran menggunakan saldo maxim sangat sulit
Positif,abang ramah ganteng banget menyala abang qu
Negatif,tolong amatnya google map lebih mudah
Positif,alhamdulillah cepat ramah
Positif,pelayanannya bagus
Positif,pengemudi bagus enak ajak ngobrol
Positif,baik sekali ramah
Positif,sopanbaik ramah
Negatif,aplikasi erorgak buka
Positif,driver memberikan pelayanan baik
Positif,makasi iya pak iya semangat penjahat kelamin
Positif,baik drivernya
Negatif,pemaksaan pesanan gak batalkan
Positif,driver amanah respon cepat terbaikk
Positif,baik ramah wangi
Positif,perjalanan lancar
Positif,pelayanan baik ramah sopan
Positif,terimakasih cepat tepat
Positif,pengemudi ramahterima kasih bapak maxim
Positif,maxim terbaik termurah banyak promo mantap deh pokoknya
Positif,mkasih mas deh bntu
Positif,mas maximnya baik ramah perjalanan cepat amanmakasih iya
Positif,baru pertama order maxime memuaskan
Negatif,maps ga akurat
Positif,driver ramah baik
Positif,mantap cepat ramah kenal medan baik
Positif,ok gampang perjalanan
Positif,pelayanan super cepat
Positif,bagus tepat waktu ramah
Positif,murah cepat aman nyaman pokonya apk bagus banget
Positif,sangat baik ramah
Positif,pelayanan driver memuaskan
Positif,pelayanan sangat baik
Positif,pertama pakai maximpelayanannya sangat ramah
Negatif,kok saya memesan selalu dapat jauh² iya agak nunggu menit menunggu
Negatif,tolong bukti order jangan cepat hilang cukup sebulan padahal saya btuh buat reimburse kantor mana kalau dibuka bagian pembayaran tidak tercantumkan tanggal jam pesannya harus repot kirim bukti order email satu persatu lama banget tolong upgrade bagian situ dong proses keluhan admin ig aplikasi saya edit ulasan ada feedback email kalau tidak big no lah sama maxim tolong aplikasinya upgrade lebih bagus tampilannya peta
Positif,drivernya ramah
Positif,maxin transportasi terbaik
Negatif,murah sih jarang ada driver
Positif,responnya cepat
Positif,lngsung ngrespon baik
Positif,mantap dateng cepat
Positif,murah meriah baik ramah
Positif,lebih murah lebih cepat
Negatif,baru kali seumur hidup dibntakdimarahin smaa pengemudi nyapdhal bicara baikujungmarah marahditngah jalanudah lobang bahkan dihatamga bner deh naik motor nyaaa sampai diliatin sama orangdijalanpagimalah ga mood sama tukang ojekbnyk bilng mnding gbok maxim keamanan keramahan kurang bngttolong bantu
Positif,alhamdulillah pelayanan prima
Positif,sangat ramah sekali
Positif,kakaknya ramah order dipenuhi azwan anas motorcycle warna merah nopol slz terima kasih atas perjalanan rating
Positif,sangat membantu
Negatif,gk log saya instal ulang juga tetap tidak
Positif,bagus sekali
Negatif,sebenarnya bagus giliran buru buru drivernya otwnya lama banget aplikasi ga jalan jalan padahal orderannya udh terima tolong dong denda kalau lewat waktu ditentukan tuh gak cuma customer pengemudi juga biar sama sama gak merugikan
Positif,pengemudi ramah bagus
Positif,respon driverx cepat
Positif,ramah back komunikatif terima kasih mas maxim
Negatif,pertama kali pakai mudah setelah saya sampai tujuan ingin memberikan bintang sayang bahkan eror jaringankoneksi internet terputus perjalanan walaupun nyalakan kembali koneksi internet saya tetap tidak berfungsi saya harap kesalahan ada solusinya terimakasih
Positif,maxim sangat membantu
Positif,harapan pak driver juga baikthx iya
Positif,drivernya asik banget
Positif,driver atribut okramah sabar
Positif,baik ramah
Positif,sangat bagus cepat ramah
Positif,saya sangat puas pakai aplikasi inikarena sangat membantu kmna aman smpi tujuanterima kasih maximtetap hrga standar ekonomi kebawah iya hehheeh
Positif,trimkasih uda antar pcar saya slmat
Positif,layanan bagus
Positif,pak supir mantap baik banget
Positif,pengirimannya cepat
Positif,tepat waktu ramah
Positif,driver sopan
Positif,trimakasih mengantarkan adik saya bekerja pak sehat sehat iya pak
Positif,sangat bagus minta tolong antarkan slip ronsen ketinggalan terimakasih biyaya antar berapa
Negatif,kembalikan mode delivery duludelivery sangat sulit sangat ribet
Negatif,gak ramah sering marah² minta tambahan padahal pasti ditambahin pokonya nyebelin banget pelayanannya meski gk semua si
Positif,harga terjangkau
Negatif,parah kamu maxim tebet manggarai biasa memberikan jalur mana jauh banget inget saingan kamu ada grabe sama gojek
Positif,terimaksihsangat membantu banget
Positif,cepat kali mntab
Positif,drivernya ramah
Positif,pelayanannya sangat baik
Positif,pelayanan ramah
Positif,ramah dn baik
Positif,bapaknya ramah
Negatif,apk bug ga daftar kode ga masuk pdhl kartu ada aktif
Positif,sangat mantap sopir bos ku
Positif,bapaknya ramah banget
Positif,driver ea ramah banget terima kasih
Negatif,aplikasi berbicara sembarangan saya isi akun kaspro masuk akun jam kemudian bahkan masuk potongan bnyak bngttt aplikasi lain gk semahal inisaya chat gk ada respon sampai
Negatif,tolong ditingkatkan ferfomat reting akun abang lebih mudah mendapatkan konsumen dimana terimakasih
Positif,pelayanannya sangat baikjujursopan santunramah
Positif,org ya ramah tamahbaik kerjaan ya rapih tidak ugalan bawa kendaraan ymakasih abangkuh
Positif,terima kasih iya bang
Positif,drivernya top banget sangat bangus
Negatif,ekonomis aplikasi maxim penumpang maps kurang kumplit menentukan titik agak susah
Negatif,informasi dong maxim aku eror aduh bagaimana si gabisa buka keranjangnya buat food erorr
Positif,biarkan bintang menilai semangat maxim
Positif,driver ramah pelayanan sangat memuaskan
Positif,pelayanan ok cepat nyaman
Positif,mantap pelayanan
Positif,ramah ramah sekali
Positif,pelayanan sangat bagus
Positif,bagus tepat wktu
Positif,bagus dn ramah buat para bapaksibuk percaya
Positif,ramah drivernya
Positif,good job sangat menguasai kendaraannya lihai ketika menghindari kendaraan depan ttp tidak terkesan ugalugalan
Positif,sangat memuaskan
Positif,terima kasih yah kakak baik mau nalangin barang sya tdik
Negatif,min ko nomor hp saya tidak dapetin kode login apk tolong bantu
Negatif,abg iya ganteng walapun sedikit kesal
Negatif,kurirnya sering nolak kalau pakai kaspro percuma saya top up kaspro kurirnya gk mau dn selalu cancel kalau bayar pakai kaspro saran saya lebih baik kasih fitur mbangking biar gampang
Positif,mantap dahcepet banget
Positif,baik sekali
Positif,drivernya keren baek banget top
Positif,suka banget kurir juga ramah
Negatif,susah mpa tidak bagus
Negatif,driver tersiksa bayaran kecil salah penumpang penumpang laporin gak kena pbo aplikasi teraneh setidaknya ikutinlah gojek shoope lebih menjaga mitranya
Positif,alhamdulillah bagus sekali
Positif,alhamdulillah tepat waktu
Positif,sangat memuaskan pejemputan sangat cepat kepada abang ojol bravo
Negatif,driver berkata tidak sopan kasar ucapannya perkataannya ada tidak senonoh
Positif,sangat puas dngan pelayanan
Positif,baguscepat tiba dipesan terima kasih
Positif,kerja sama baik
Positif,orang ramah banget
Positif,bagus pelayanannya
Positif,mantaps harga lebih murah supir ramah mau angkut penumpang ga sebelah kali cancel
Positif,sangat baik trimakasih
Positif,ramah nyaman
Positif,sangat baik cepat
Positif,pengemudi sangat baik
Positif,aplk bagus simple
Positif,bapaknya baik sopan
Positif,baik kurir
Positif,pengiriman cepat waktudriver ramah
Negatif,maxim food harga tokonya tidak update buka tidak akibatnya banyak driver nakal menaikan harga semaunya mohon ditindaklanjuti
Positif,ditengah hujan deras driver mau menerima mengantar paket makanan senang hati terima kasih banyak pak semoga rezeki bapak makin lancar bertambah tambah sehat kuat terus iya pak
Positif,baik ramah
Positif,perdana naik maxim
Negatif,kurang memuaskan alamat tujuan susah temukan
Positif,sangat membantu sekali
Positif,bagus menjaga keselamatan penumpangramah wangi
Positif,pelayanan pengantaran tujuan tepatterimakasih maxim
Positif,pelayanannya bagus ramah orangnya terhadap konsumen
Positif,gak memberikan komen biar bintang berbicara the best
Positif,baik layanan ya
Positif,kurir luar biasa
Positif,supirnya baik bngt ramah
Positif,order dipenuhi azwar motorcycle warna hitam nopol kbnk terima kasih atas perjalanan rating
Positif,oke driver cepat
Positif,baik ornag pda ramah
Positif,pelayanannya bagus
Positif,kurir baik ramah mau menunggu
Positif,sippp lembut bngt mas sangat membantuterimakasih
Positif,bagus driver
Positif,komunikasi good tetap terapin s iya tetap ramah baik terimakasih abang
Positif,gercep ramah
Positif,kasih dulu
Positif,kurir ramah
Positif,cepat ramah amanah
Positif,semoga sehat terus pak selalu hatihati dijalan iya
Positif,baru coba katanya bagus
Positif,pengemudi angelinus yos bernad reshsy motorcycle warna hijau tua nopol ebed selamat menikmati perjalanan rating
Positif,yaman baik ramah
Positif,memuaskan transportasi
Negatif,tepat wktu kebersihan mbl krg bau rokok krg nyaman slny bwa bayi
Negatif,tlg buatkan fitur foto sehingga pelanggan mengirimkan lokasi akurat driver gab gek kasian carian terimakasih
Positif,semoga tambah sukses
Negatif,spg maxim memberikan kode voucher pku mayan iya waktu gunakan bahkan drivernya gak terima dih gak guna lebih baik pindah deh pakai aplikasi gojek aplikasi maksim penipu
Positif,puji tuhan tiba selamatterima kasih atas servicenyagod bless
Positif,driver ramah musim hujan menyediakan mantelthanks saudara laki-laki
Positif,drivernya ramah
Positif,tingkat kan pelayanan costumer
Positif,terimakasih saya sampai sampai selamat
Positif,ramah banget supir ny
Negatif,fitur aplikasinya kurang
Positif,alhamdulillah sampai tujuan meskipun halte terminal ngabean tidak ada jaga alias tutup
Negatif,mapsnya kurang ok
Negatif,butuh tambahkan history perjalanan improve ui
Positif,allhamdullilah selamat tempat tujuan terimakasih yaaaa
Positif,membantu buat transfortasi terima kasih
Positif,sangat ramah membantu
Positif,pelayanan bagus
Positif,akurat cepat terpecaya
Positif,sampai tujuan tepat waktu aman
Positif,pelayanan best mantap
Positif,cepat ramah baik orangnya terimakasih
Positif,sangat cepat drever ramah
Positif,mantul mantap betul
Positif,nyaman puas
Positif,sangat baik terimakasih pak semoga selalu beri kesehatan
Negatif,banyak perlu perbaikan sektor pemilihan titik jemputan susah dipilih
Positif,sangat baik tepat waktu juga nyaman sukses selalu buat pengguna maxim
Positif,pelayanan baik
Positif,druver ramah
Positif,cepat murah
Negatif,maxim edan tidak mencari driver
Positif,terimakasih bapak driver
Positif,driver bail ramah tidak sombong
Negatif,harganya makin mahal padahal sebelumnya murah
Negatif,drivernya kebanyakan tua gak ngebut gak baca titik jemput
Negatif,hapus aplikasi sering erorrrr
Positif,mempermudah aktifitas
Negatif,lama cari driver
Positif,mantab lah intinya
Positif,tepat waktu mantap
Positif,bagus aplikasinya
Positif,datang cepat supirnya ramah tidak kebut kebutan
Positif,terbaik murah
Positif,abang asik semngat buat semua driver pagi malam
Negatif,tolong dong diperiksa semua driver nyaaa apalagi daerah jambi kalau malam banyak upping price sampai kali lipat bukan ga mampu masa sampai segitu
Positif,cepat mudah gak ribet patut berguna bagi semua masyarakat indonesia
Positif,layanan sangat bagus cepat tepat
Positif,orang asik ga sombong
Positif,pelayanan baik l
Positif,pertahankan sopir gini saya demensehat selalu buat driver
Positif,driver maxim memang mantap
Negatif,tolong adain fitur fotooo
Negatif,penitikan lokasi jemputtujuan tidak nitik manual kalau ada patokan lokasi input manual input lokasi sering lokasi tidak tersedia coba belajar grab gojek
Negatif,saya langganan maxim tahun ga pernah ada masalah hari lalu saya pesan maxim titik jemput saya kasih patokan saya berada sebrang titik jemput si driver salah titik jemput lokasinya cuma belakang titik jemput bukannya balik titik jemput benar eh bahkan marah room chat sampai nyindirnyindir saya bilang kalau titik jemput saya pilih salah padahal benar pas dateng nemuin saya bahkan diem smpe rumah lngsng uninstall apk
Positif,pelayanan baik
Positif,driver ramah bawa motor juga enak
Positif,pelayanan terbaik
Positif,semangat terus bang
Positif,pelayanannya bagus
Positif,baik sekali
Negatif,sistemnya kacau orderan beberapa hari lalu dibatalkan pihak merchant ada driver nanyain order tidak namanya batal iya batal kenapa terus terusan masuk driver sih orderannya mana beberapa hari lalu tiap hari masuk chat driver nanyain order tidak
Positif,pelayanan bagus
Positif,baik sopan
Positif,good dalam segala hal prosedur sop jalan
Positif,ramah sekali
Positif,sangat memuaskan
Positif,murah dibanding toko sebelah
Positif,mantap drivernya ramah ramah
Positif,baikramahdan sopan
Positif,nyaman baik ramah
Positif,sangat memuaskan
Positif,terima kasih kakak mengantar ibu saudara selamat lancar selalu rejekinya
Positif,expert driver masnya ramah baik very good bintang berbicara
Positif,apk sangat bagus
Positif,ramah sekali
Positif,baik banget kurirnya
Positif,sangat baguss terimakasih
Positif,trimakasih paksudah antrkn
Positif,sangat membantu
Negatif,susah banget cari alamat benar ada gak berkontribusi sama google map bikin sala turun rugiiiiu
Positif,pengantaran ramah
Positif,sangat ramah sekali semoga sukses terus kakak semangat kakak
Positif,suport saya tunjuki jempol
Positif,driver ramah terima kasih
Negatif,tolong pertingkat mendapatkan driver lama amat sampai se jam nunggunya
Positif,murah terjangkau
Positif,pelayanan bagus
Positif,pelayanan sangat baik
Negatif,driver ga sabaran bawa kendaraan ga peduli ada kubangan air kayaknya tetep terobos buat pengguna motor kecipratan air kotor jadinya santai pak
Negatif,baguscepat murahdapat diandalkan cuman kalau pesan mobil agak lama
Negatif,kalau aplikasi siap jangan buru publikasi tolol cancel gk dapat promo gk digunain menu aplikasinya gk jelas siapa sih bikin app web lambat gini
Positif,pelayanan ramah cepatmakasih mas
Positif,ramah baik
Positif,sopan ramah
Positif,saya sangat berterimah kasih kepada penegumudikarena sangat ramahsopan baik
Positif,asik baik ramah sekaliii
Positif,sangat puasramah
Negatif,driver pilih pilih hemmm padahal kejar waktu please lah jangan mandang deket jauh
Positif,pelayanannya bagus
Positif,mantap terima kasih atas pelayanan
Positif,pelayanan ramah pokok puas lah
Positif,drivernya baik ramah
Positif,ramah enak ajak ngobrol
Positif,abang ramah baek
Positif,driver baik
Positif,driver ramah
Negatif,agak jelek pelayanan nyadriver kurang responsifkl agak terburu gak recomend lah sering nemuin beberapa driver nerima pesanan chat ga blas tahu mohon maaf minta cancelmohon ada convirm driver kalau nerima iya konsisten nerima kalau ga kecuali kecelakaan mohon langsung jagn terima
Positif,alhamdulillah bapak sabar mengantarkan pesanan sampai tujuan walau ada sedikit perbedaan gang terimakasih bapak
Positif,sangat bagus pelayanannya
Positif,siap mantap pengemudi ramah ok
Positif,saya suka makai maxim bagus
Positif,mantap sya suka menggunakan maxim murah tepat waktu
Positif,driver sangat cepat dlm menjemput ramah
Positif,tarif paling murah tersedia juga kota kecil pekalongan
Positif,baru kali nemu draiver mantapac dingin mobil bersihbagasi boleh pakai
Positif,aku pakai maxim awal smp kurang lebih tahun bagus banget drivers juga baik baik
Positif,baik pelayanannya
Positif,terbaik sangat pokona
Positif,pengemudi ramah bawa mobil bagus
Positif,mantap nyaman sekali berkendara
Positif,baik ramah
Positif,saya sangat senang layanan maxim
Positif,sipp banget drivernya
Positif,mas baik ramah ganteng
Positif,murah mudah cepat
Positif,bgus pelayanan ny
Positif,kompeten rekomended buat driver terbaik
Negatif,titik kordinatnya tidak beres error tersesat tersesat
Positif,pelayanan ramah
Positif,pelayanan bagus
Positif,draivernya ramah tidak ugal ugalan
Positif,keren selalu puas sama pelayanan maxim delivery sukses selalu tim bertugas
